workclass,marital-status,occupation,race,sex,hours-per-week,native-country,income,net_capital,age_group,education_level
Federal-gov,Divorced,Adm-clerical,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Female,60,United-States,>50K,7688,middle_aged,High
State-gov,Never-married,Adm-clerical,White,Female,10,United-States,<=50K,0,young,Medium
Private,Widowed,Handlers-cleaners,White,Male,40,Other,<=50K,0,middle_aged,Medium
Private,Never-married,Machine-op-inspct,Black,Female,48,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Other-service,White,Male,40,United-States,<=50K,0,senior,High
Private,Never-married,Exec-managerial,White,Male,40,United-States,<=50K,0,young,High
Private,Never-married,Prof-specialty,White,Female,8,United-States,<=50K,0,young,High
Private,Never-married,Adm-clerical,Black,Female,15,United-States,<=50K,0,young,Medium
Private,Never-married,Prof-specialty,White,Female,35,United-States,<=50K,0,young_adult,High
Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,47,United-States,<=50K,0,middle_aged,Medium
Self-emp-inc,Married-civ-spouse,Transport-moving,White,Male,60,Other,<=50K,0,middle_aged,Medium
Private,Separated,Machine-op-inspct,White,Male,55,United-States,>50K,-2258,middle_aged,Medium
Private,Never-married,Adm-clerical,White,Female,60,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K,0,senior,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,<=50K,0,young,High
Self-emp-not-inc,Never-married,Other-service,White,Female,75,United-States,<=50K,0,young,Medium
Private,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0,young,Medium
Private,Never-married,Exec-managerial,White,Female,30,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,0,middle_aged,High
Local-gov,Divorced,Prof-specialty,White,Female,55,United-States,<=50K,0,middle_aged,High
Private,Never-married,Other-service,White,Female,20,United-States,<=50K,34095,young,Medium
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,44,United-States,<=50K,0,elderly,Medium
Private,Never-married,Sales,White,Female,30,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Craft-repair,Other,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Separated,Machine-op-inspct,Black,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Female,36,United-States,<=50K,0,senior,Medium
Private,Divorced,Prof-specialty,Black,Male,40,United-States,<=50K,0,middle_aged,High
Local-gov,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K,-1887,middle_aged,High
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,50,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Machine-op-inspct,Black,Female,35,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Adm-clerical,White,Female,45,United-States,<=50K,0,young_adult,Medium
Local-gov,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,3137,senior,Medium
Private,Divorced,Adm-clerical,White,Female,37,United-States,>50K,0,middle_aged,Medium
Private,Divorced,Tech-support,White,Female,40,United-States,<=50K,0,young_adult,Low
Self-emp-not-inc,Never-married,Tech-support,White,Male,45,United-States,<=50K,0,young_adult,High
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,32,Other,>50K,-1977,senior,High
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,55,United-States,>50K,0,middle_aged,High
Private,Never-married,Sales,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,50,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Male,45,Other,<=50K,0,young,Low
Self-emp-inc,Married-civ-spouse,Exec-managerial,White,Male,38,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,>50K,0,young_adult,Medium
Private,Never-married,Adm-clerical,Black,Female,40,United-States,<=50K,0,senior,Medium
Private,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,40,Other,<=50K,2105,senior,Medium
Local-gov,Married-civ-spouse,Protective-serv,White,Male,60,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,60,United-States,<=50K,0,young_adult,Medium
State-gov,Divorced,Protective-serv,White,Male,40,Mexico,>50K,0,middle_aged,High
Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,45,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Other-service,Black,Male,30,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K,0,young_adult,High
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,senior,Medium
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,20,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0,young_adult,High
Private,Never-married,Tech-support,White,Female,40,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Sales,White,Female,40,United-States,>50K,0,young_adult,Medium
Private,Widowed,Sales,White,Female,40,United-States,<=50K,-1762,senior,Medium
Private,Divorced,Craft-repair,White,Male,46,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Sales,White,Male,40,United-States,<=50K,0,young,Medium
Private,Never-married,Adm-clerical,White,Male,20,United-States,<=50K,0,young_adult,Medium
Private,Widowed,Machine-op-inspct,Black,Female,40,United-States,<=50K,0,senior,Medium
Private,Never-married,Handlers-cleaners,White,Male,20,United-States,<=50K,0,young,Medium
Private,Separated,Sales,White,Female,30,United-States,<=50K,0,middle_aged,High
Private,Married-civ-spouse,Machine-op-inspct,White,Female,40,Other,<=50K,0,young_adult,Medium
Private,Divorced,Sales,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Divorced,Tech-support,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Adm-clerical,White,Female,30,United-States,<=50K,0,young,Medium
State-gov,Married-spouse-absent,Other-service,Black,Female,40,Other,<=50K,0,senior,Medium
State-gov,Divorced,Protective-serv,White,Female,40,United-States,<=50K,0,middle_aged,High
Private,Divorced,Transport-moving,White,Male,40,United-States,<=50K,0,middle_aged,Low
Private,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0,young,Medium
Private,Never-married,Prof-specialty,Other,Female,40,United-States,<=50K,-1590,young_adult,High
Private,Married-civ-spouse,Other-service,Black,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Separated,Handlers-cleaners,White,Female,40,United-States,<=50K,0,young,Medium
Private,Never-married,Tech-support,White,Male,40,United-States,<=50K,0,young_adult,High
Local-gov,Never-married,Adm-clerical,Black,Female,40,United-States,<=50K,0,middle_aged,High
Federal-gov,Never-married,Adm-clerical,White,Male,40,United-States,<=50K,0,young,Medium
Federal-gov,Never-married,Other-service,White,Male,40,Other,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,40,United-States,<=50K,0,senior,High
Private,Divorced,Farming-fishing,White,Male,50,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Exec-managerial,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Protective-serv,Black,Male,40,United-States,>50K,0,middle_aged,Medium
Private,Divorced,Craft-repair,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Handlers-cleaners,White,Male,12,United-States,<=50K,0,young,Medium
Private,Never-married,Sales,White,Male,48,United-States,<=50K,0,young_adult,High
Private,Married-civ-spouse,Adm-clerical,White,Male,45,Other,>50K,0,middle_aged,High
Private,Married-civ-spouse,Machine-op-inspct,White,Female,40,United-States,<=50K,0,young_adult,Medium
State-gov,Never-married,Tech-support,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Adm-clerical,White,Female,45,United-States,<=50K,0,middle_aged,Medium
Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,3411,middle_aged,Medium
State-gov,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,72,India,>50K,0,middle_aged,High
Private,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Sales,White,Female,20,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Sales,White,Male,60,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Female,40,United-States,<=50K,0,young_adult,Medium
Federal-gov,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,<=50K,0,middle_aged,Medium
Private,Divorced,Craft-repair,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K,0,young_adult,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K,0,middle_aged,High
Private,Separated,Sales,White,Female,40,United-States,<=50K,0,young_adult,Low
Private,Divorced,Craft-repair,White,Male,46,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Prof-specialty,White,Female,50,United-States,>50K,0,young_adult,High
Private,Never-married,Other-service,White,Female,60,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,0,young_adult,Medium
Local-gov,Married-civ-spouse,Protective-serv,Black,Male,40,United-States,>50K,15024,middle_aged,High
Private,Separated,Machine-op-inspct,White,Female,40,United-States,<=50K,0,young_adult,Medium
Self-emp-inc,Married-civ-spouse,Exec-managerial,White,Male,32,United-States,<=50K,2885,middle_aged,Medium
State-gov,Never-married,Exec-managerial,White,Female,40,Other,>50K,0,middle_aged,High
Private,Never-married,Exec-managerial,White,Male,60,United-States,<=50K,0,young_adult,Medium
Local-gov,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Female,35,United-States,<=50K,0,middle_aged,High
Private,Married-spouse-absent,Sales,Black,Female,38,United-States,<=50K,0,senior,Medium
Federal-gov,Married-civ-spouse,Other-service,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Sales,White,Female,40,United-States,<=50K,0,senior,Medium
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Self-emp-inc,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,<=50K,0,middle_aged,High
Federal-gov,Never-married,Prof-specialty,White,Female,40,Other,<=50K,0,middle_aged,High
State-gov,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,40,India,>50K,0,senior,High
Self-emp-inc,Married-civ-spouse,Exec-managerial,White,Male,42,United-States,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Other-service,White,Male,40,Other,>50K,0,young_adult,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young_adult,Medium
Local-gov,Never-married,Adm-clerical,Black,Male,40,Other,<=50K,0,young_adult,Medium
State-gov,Married-civ-spouse,Exec-managerial,White,Female,55,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K,0,young_adult,High
Private,Never-married,Other-service,White,Female,40,Other,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,40,United-States,>50K,0,senior,Medium
Private,Never-married,Adm-clerical,White,Male,35,United-States,<=50K,0,young,Medium
State-gov,Married-civ-spouse,Exec-managerial,White,Male,55,United-States,>50K,7298,young_adult,High
Private,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,<=50K,0,senior,Medium
Self-emp-not-inc,Never-married,Other-service,White,Male,30,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K,0,senior,Medium
Private,Separated,Prof-specialty,Black,Female,40,United-States,<=50K,0,middle_aged,Low
Private,Never-married,Transport-moving,White,Male,30,United-States,<=50K,0,young,Medium
Private,Never-married,Tech-support,White,Male,45,United-States,<=50K,0,young_adult,High
Private,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,<=50K,0,young,High
Private,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K,0,middle_aged,Medium
Local-gov,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K,0,young_adult,High
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0,young_adult,High
Private,Never-married,Machine-op-inspct,White,Female,60,Mexico,<=50K,0,young,Low
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,8,Philippines,<=50K,0,middle_aged,Medium
Private,Divorced,Machine-op-inspct,White,Female,40,United-States,<=50K,0,senior,Medium
Local-gov,Married-civ-spouse,Transport-moving,White,Male,20,United-States,<=50K,0,senior,Medium
Private,Never-married,Prof-specialty,White,Female,50,United-States,<=50K,0,young,High
Private,Never-married,Craft-repair,White,Male,35,United-States,<=50K,0,young,Medium
Private,Never-married,Priv-house-serv,White,Female,15,Mexico,<=50K,-1602,young_adult,Medium
Private,Never-married,Adm-clerical,White,Male,20,United-States,<=50K,0,young,Medium
Self-emp-inc,Married-civ-spouse,Sales,White,Male,48,United-States,>50K,0,elderly,High
Private,Divorced,Sales,White,Female,30,United-States,<=50K,0,young,Medium
Private,Separated,Machine-op-inspct,White,Female,40,Other,<=50K,0,middle_aged,Low
State-gov,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,40,Other,<=50K,0,middle_aged,High
Private,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young,Low
Private,Never-married,Prof-specialty,White,Male,48,United-States,<=50K,0,young_adult,High
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K,0,senior,Medium
State-gov,Never-married,Other-service,Asian-Pac-Islander,Male,40,United-States,<=50K,0,young_adult,Medium
State-gov,Divorced,Protective-serv,Black,Male,38,United-States,<=50K,0,middle_aged,Medium
State-gov,Married-civ-spouse,Prof-specialty,White,Male,40,Other,>50K,0,senior,High
Private,Divorced,Machine-op-inspct,Black,Female,35,United-States,<=50K,0,middle_aged,Low
Private,Never-married,Adm-clerical,White,Female,50,United-States,<=50K,0,young_adult,Medium
State-gov,Married-civ-spouse,Protective-serv,Black,Male,40,United-States,<=50K,0,young_adult,High
Private,Divorced,Handlers-cleaners,White,Male,25,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Black,Male,40,United-States,<=50K,0,senior,Medium
Private,Never-married,Sales,White,Female,20,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Craft-repair,Black,Male,45,United-States,<=50K,0,middle_aged,Low
Private,Divorced,Craft-repair,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Sales,White,Female,40,United-States,>50K,0,middle_aged,Medium
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,70,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,55,United-States,>50K,0,young_adult,Medium
Local-gov,Married-civ-spouse,Protective-serv,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,50,United-States,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,30,United-States,>50K,0,senior,Low
Private,Married-civ-spouse,Machine-op-inspct,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Machine-op-inspct,Asian-Pac-Islander,Female,40,Other,<=50K,0,young,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Local-gov,Divorced,Adm-clerical,White,Female,40,United-States,>50K,99999,middle_aged,High
State-gov,Married-civ-spouse,Other-service,White,Female,15,United-States,<=50K,0,young,Medium
Private,Divorced,Adm-clerical,White,Male,40,United-States,<=50K,0,middle_aged,High
Local-gov,Divorced,Protective-serv,White,Male,55,United-States,<=50K,0,middle_aged,Medium
Private,Divorced,Craft-repair,White,Male,40,United-States,>50K,14344,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Adm-clerical,White,Male,24,United-States,<=50K,0,senior,Medium
Self-emp-inc,Married-civ-spouse,Transport-moving,White,Male,55,United-States,>50K,0,middle_aged,Medium
Local-gov,Divorced,Tech-support,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,young_adult,Low
Private,Never-married,Adm-clerical,White,Female,40,Other,<=50K,0,young_adult,High
Local-gov,Married-civ-spouse,Prof-specialty,White,Male,35,United-States,>50K,0,middle_aged,High
Private,Never-married,Handlers-cleaners,White,Male,12,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Other-service,White,Female,10,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K,-1887,young_adult,Medium
Private,Separated,Other-service,White,Female,32,United-States,<=50K,0,senior,Low
Private,Never-married,Adm-clerical,White,Male,40,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Never-married,Sales,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Transport-moving,White,Male,25,Other,<=50K,0,young,Low
Federal-gov,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K,0,middle_aged,Medium
Self-emp-not-inc,Married-civ-spouse,Other-service,White,Female,50,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,35,United-States,<=50K,0,young,Medium
Private,Divorced,Prof-specialty,White,Male,40,United-States,<=50K,0,middle_aged,High
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K,-1977,middle_aged,High
Private,Married-civ-spouse,Protective-serv,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,58,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,45,United-States,<=50K,0,middle_aged,Medium
Local-gov,Never-married,Protective-serv,Amer-Indian-Eskimo,Male,48,United-States,<=50K,4650,middle_aged,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,35,United-States,>50K,0,middle_aged,Medium
Private,Divorced,Other-service,White,Female,36,United-States,>50K,0,middle_aged,Medium
Private,Divorced,Other-service,White,Female,24,United-States,<=50K,0,young,Medium
Federal-gov,Married-civ-spouse,Tech-support,White,Male,40,United-States,<=50K,0,young_adult,Medium
Local-gov,Married-civ-spouse,Protective-serv,White,Male,57,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Prof-specialty,White,Female,25,United-States,<=50K,0,young,Medium
Private,Never-married,Machine-op-inspct,White,Male,45,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,50,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Farming-fishing,White,Male,50,United-States,>50K,27828,young,High
Private,Divorced,Other-service,White,Female,60,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Farming-fishing,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Widowed,Adm-clerical,White,Female,35,United-States,<=50K,0,senior,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,45,United-States,<=50K,3411,young_adult,High
Private,Married-civ-spouse,Transport-moving,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Sales,White,Male,37,United-States,<=50K,0,middle_aged,Medium
Private,Divorced,Prof-specialty,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Sales,White,Male,40,United-States,>50K,-1902,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,35,United-States,<=50K,3781,young,Medium
Self-emp-not-inc,Divorced,Craft-repair,White,Male,45,United-States,<=50K,0,middle_aged,Low
Private,Never-married,Craft-repair,White,Male,30,United-States,<=50K,0,young,Medium
Private,Never-married,Prof-specialty,White,Male,50,United-States,<=50K,0,senior,High
Private,Married-civ-spouse,Prof-specialty,White,Male,40,Other,<=50K,0,senior,Medium
Local-gov,Never-married,Prof-specialty,White,Male,22,United-States,<=50K,0,middle_aged,High
Private,Divorced,Other-service,White,Female,35,United-States,<=50K,0,middle_aged,Medium
Self-emp-inc,Married-civ-spouse,Sales,White,Female,40,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Sales,White,Male,60,Other,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,0,senior,Medium
Self-emp-inc,Never-married,Other-service,Black,Male,50,United-States,>50K,13550,young,Medium
Private,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0,senior,Medium
Private,Never-married,Adm-clerical,White,Female,20,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Divorced,Exec-managerial,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K,7688,middle_aged,High
Private,Never-married,Handlers-cleaners,White,Male,30,United-States,<=50K,0,young,Medium
Private,Never-married,Tech-support,Black,Male,40,United-States,<=50K,0,young,High
Private,Never-married,Other-service,White,Male,30,United-States,<=50K,0,young,Medium
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,55,United-States,>50K,0,senior,High
Private,Never-married,Sales,White,Female,40,United-States,<=50K,0,young,Medium
Private,Never-married,Handlers-cleaners,White,Male,25,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,44,United-States,>50K,15024,middle_aged,Medium
Private,Never-married,Adm-clerical,White,Female,23,United-States,<=50K,0,young,High
Self-emp-inc,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K,15024,middle_aged,High
Private,Never-married,Sales,White,Female,15,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Other-service,White,Male,40,United-States,>50K,0,middle_aged,Medium
State-gov,Never-married,Adm-clerical,White,Female,10,United-States,<=50K,0,young,High
Private,Never-married,Adm-clerical,White,Male,20,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K,-1977,middle_aged,High
Private,Married-civ-spouse,Craft-repair,White,Male,50,United-States,<=50K,0,young_adult,Low
Private,Separated,Other-service,White,Female,40,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Widowed,Farming-fishing,White,Female,50,United-States,<=50K,0,senior,Medium
Private,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K,0,senior,Medium
Private,Married-civ-spouse,Other-service,Black,Male,30,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Never-married,Prof-specialty,White,Male,40,United-States,<=50K,0,young_adult,High
Private,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K,0,senior,Low
Private,Divorced,Tech-support,White,Female,30,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Tech-support,White,Male,45,United-States,>50K,-1887,middle_aged,Medium
Local-gov,Married-spouse-absent,Adm-clerical,White,Female,40,Other,<=50K,0,young,Medium
Private,Married-civ-spouse,Adm-clerical,Black,Female,30,United-States,<=50K,0,young_adult,High
Private,Never-married,Other-service,Asian-Pac-Islander,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Adm-clerical,Black,Female,20,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,Mexico,>50K,7298,middle_aged,Low
Local-gov,Divorced,Prof-specialty,White,Female,36,United-States,<=50K,0,middle_aged,High
Local-gov,Married-civ-spouse,Other-service,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,60,United-States,>50K,7298,middle_aged,Medium
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,2354,young,Medium
Private,Never-married,Exec-managerial,Black,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Divorced,Sales,White,Female,60,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,50,United-States,<=50K,0,young_adult,Medium
Private,Divorced,Exec-managerial,White,Female,40,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Protective-serv,White,Male,30,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Sales,White,Female,8,Mexico,<=50K,0,young,Medium
Private,Divorced,Adm-clerical,White,Female,38,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Adm-clerical,White,Female,20,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Female,20,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K,-1485,senior,Medium
Private,Divorced,Sales,White,Female,35,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Other-service,White,Male,40,Mexico,<=50K,0,young,Low
Private,Married-civ-spouse,Craft-repair,White,Male,45,United-States,>50K,0,middle_aged,High
Private,Never-married,Adm-clerical,White,Female,20,United-States,<=50K,0,young,Medium
Private,Never-married,Adm-clerical,Black,Female,35,United-States,<=50K,0,middle_aged,Medium
Local-gov,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K,7298,senior,High
Federal-gov,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,40,Other,<=50K,-2002,young_adult,High
Local-gov,Married-civ-spouse,Other-service,White,Female,40,United-States,<=50K,2635,young_adult,Medium
Local-gov,Married-civ-spouse,Protective-serv,White,Male,45,United-States,>50K,0,young_adult,High
Private,Never-married,Exec-managerial,White,Male,40,United-States,>50K,0,senior,Medium
Private,Divorced,Priv-house-serv,White,Female,40,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,48,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Other-service,White,Female,35,United-States,<=50K,0,senior,Medium
Private,Never-married,Prof-specialty,Asian-Pac-Islander,Male,40,United-States,<=50K,-1974,young,Medium
Private,Never-married,Prof-specialty,White,Male,42,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Other-service,White,Female,40,United-States,<=50K,0,young,Low
Private,Married-civ-spouse,Adm-clerical,Black,Female,40,United-States,<=50K,0,young_adult,High
Private,Never-married,Adm-clerical,White,Female,45,United-States,<=50K,2174,middle_aged,Medium
Private,Never-married,Other-service,White,Male,40,Other,<=50K,-1408,middle_aged,Medium
Private,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Divorced,Other-service,White,Female,45,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,25,United-States,<=50K,0,elderly,Medium
Private,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K,0,middle_aged,Low
Private,Widowed,Protective-serv,White,Male,55,United-States,<=50K,0,elderly,Medium
Private,Separated,Other-service,White,Female,40,United-States,<=50K,0,senior,Medium
Private,Never-married,Other-service,Black,Male,15,United-States,<=50K,0,young,Low
